main,aisle,category,sub_category,title,product_link,promotion,discount_percent,original_price,discounted_price
Mercado,Drogaria,Dermocosméticos,Limpeza,Shampoo Intensivo Anticaspa Bioderma Nodé DS+ com 125 ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/shampoo-intensivo-anticaspa-bioderma-node-ds-com-125-ml-5417830/p,,,,139.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Gel de Limpeza Facial Deep Clean Grapefruit Neutrogena Com 60g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-de-limpeza-facial-deep-clean-grapefruit-neutrogena-com-60g-6966039/p,10% OFFBadge da promoção 10% OFF,,,23.59
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Facial em Barra Dermotivin Oil Control 90gr,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-facial-em-barra-dermotivin-oil-control-90gr-5434335/p,,,,32.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Gel de Limpeza Facial Epidrat Calm Pele Sensível 150g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-de-limpeza-facial-epidrat-calm-pele-sensivel-150g-3438414/p,,,,64.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Líquido Dermotivin Salix 70ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-liquido-dermotivin-salix-70ml-5409519/p,,,,34.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Gel De Limpeza Sébium Bioderma Gel Moussant Actif Com 200ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-de-limpeza-sebium-bioderma-gel-moussant-actif-com-200ml-6553109/p,,,,81.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Vichy Normaderm Phytosolution 300 g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/vichy-normaderm-phytosolution-300-g-6033172/p,,,,109.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Gel de Limpeza Antiacne Keracnyl para Peles Oleosas a Acneicas 60g,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/gel-de-limpeza-antiacne-keracnyl-para-peles-oleosas-a-acneicas-60g-3480917/p,,,,54.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Líquido Dermotivin Oil Control 130ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-liquido-dermotivin-oil-control-130ml-8766142/p,,,,49.9
Mercado,Drogaria,Dermocosméticos,Limpeza,Sabonete Líquido Cremoso Facial e Corporal Umiditá AI Syndet 300ml,https://mercado.carrefour.com.brhttps://mercado.carrefour.com.br/sabonete-liquido-cremoso-facial-e-corporal-umidita-ai-syndet-300ml-3253694/p,,,,119.9
