Title,Company,Work Type,Location,Job Type,Posted,Job URL
Project Officer (Bi-lingual – English and French) -Niger or Burkina Faso,Girls Not Brides,Remote,Anywhere,Full Time,Posted 21 days ago,https://www.idealist.org/en/nonprofit-job/fe02d1ed515e42a499c72ff761dd6977-project-officer-bi-lingual-english-and-french-niger-or-burkina-faso-girls-not-brides-london
British Council ISPF Early Career Fellowship (Brazil) @ University of Bradford (UK),University of Bradford,On-site,"Bradford, England, United Kingdom",Full Time,Posted 23 days ago,https://www.idealist.org/en/nonprofit-job/5e6e388eca12486db489005d96c4b178-british-council-ispf-early-career-fellowship-brazil-university-of-bradford-uk-university-of-bradford-bradford
Regional Manager - Latin America,FutureSense Foundation,Remote,Anywhere,Full Time,Posted 12 days ago,https://www.idealist.org/en/nonprofit-job/3fc85591fabf48dba9fb166ac7ade115-regional-manager-latin-america-futuresense-foundation-berkshire
Communications Lead,Lion Landscapes,Remote,Anywhere,Full Time,Posted 23 days ago,https://www.idealist.org/en/nonprofit-job/3bf8a41ac83c40e09e7fecd9291f822c-communications-lead-lion-landscapes-teignmouth
Senior Fundraising Lead,Lion Landscapes,Remote,Anywhere,Full Time,Posted 23 days ago,https://www.idealist.org/en/nonprofit-job/da56a84d0ec240b7ab275c8473416ecc-senior-fundraising-lead-lion-landscapes-teignmouth
Monitoring & Evaluation Fellow,Lafiya,On-site,"Kano, KN, Nigeria",Full Time,Posted 14 days ago,https://www.idealist.org/en/nonprofit-job/81fa94b995d54dcba7c55092eed10567-monitoring-evaluation-fellow-lafiya-kano
"Business Development - Sustainability (Spain, Portugal or UK)",Vizzuality,Remote,Anywhere,Full Time,Posted 23 days ago,https://www.idealist.org/en/consultant-job/f433e860766b41ca9a3deb647655c9f3-business-development-sustainability-spain-portugal-or-uk-vizzuality-madrid
"People Business Partner | Andalucía, Spain",Win & Winnow Language Services,Hybrid,"Málaga, AN, Spain",Full Time,Posted 9 days ago,https://www.idealist.org/en/consultant-job/294de6d8558b4965bf19cac06b320daa-people-business-partner-andalucia-spain-win-winnow-language-services-malaga
Procura-se Educador(a) de Infância,O Mundo Somos Nós,On-site,"União das freguesias da Ribeira do Neiva, Braga, Portugal",Full Time,Posted 14 days ago,https://www.idealist.org/en/nonprofit-job/8cfeb7c0b0934e53a9668d3514a2e2c2-procura-se-educadora-de-infancia-o-mundo-somos-nos-uniao-das-freguesias-da-ribeira-do-neiva
"Request for Applications- Executive Director, Global Public Investment Network",International Treatment Preparedness Coalition (ITPC),Remote,Anywhere,Full Time,Posted 3 days ago,https://www.idealist.org/en/nonprofit-job/bfb55720c35b464498b5d1ab410a7e7c-request-for-applications-executive-director-global-public-investment-network-international-treatment-preparedness-coalition-itpc-sandton
Campaigner and Legal researcher for South Asia,Regulatory Institute,Remote,India,Part Time,Posted 23 days ago,https://www.idealist.org/en/nonprofit-job/7da6e7c7b4284454b43d30be9d9eb14c-campaigner-and-legal-researcher-for-south-asia-regulatory-institute-montijo
YAGYDI – GLOBAL CALL FOR SPECIALIZED VOLUNTEERS,Young and Gifted Youths Development Initiative (YAGYDI),Hybrid,"Ilorin, KW, Nigeria",Part Time,Posted 8 days ago,https://www.idealist.org/en/nonprofit-job/e019a2fe476b4c44b5e617c427f36394-yagydi-global-call-for-specialized-volunteers-young-and-gifted-youths-development-initiative-yagydi-ilorin
